company,date,year,month,close
VCS,2024-10-01,2024,10,53260.0
VCS,2024-11-01,2024,11,55805.0
VCS,2024-12-01,2024,12,55571.0
VCS,2025-01-01,2025,1,52333.0
VCS,2025-02-01,2025,2,51370.0
VCS,2025-03-01,2025,3,50758.0
VCS,2025-04-01,2025,4,40694.0
VCS,2025-05-01,2025,5,43844.0
VCS,2025-06-01,2025,6,43930.0
VCS,2025-07-01,2025,7,44659.0
VCS,2025-08-01,2025,8,44477.0
VCS,2025-09-01,2025,9,43930.0
VCS,2025-10-01,2025,10,43748.0
VCS,2025-11-01,2025,11,42654.0
VCS,2025-12-01,2025,12,40579.0
VNM,2020-01-01,2020,1,64087.0
VNM,2020-02-01,2020,2,61724.0
VNM,2020-03-01,2020,3,53750.0
VNM,2020-04-01,2020,4,58475.0
VNM,2020-05-01,2020,5,67926.0
VNM,2020-06-01,2020,6,67437.0
VNM,2020-07-01,2020,7,64027.0
VNM,2020-08-01,2020,8,72404.0
VNM,2020-09-01,2020,9,79439.0
VNM,2020-10-01,2020,10,78782.0
VNM,2020-11-01,2020,11,78928.0
VNM,2020-12-01,2020,12,79366.0
VNM,2021-01-01,2021,1,75678.0
VNM,2021-02-01,2021,2,77150.0
VNM,2021-03-01,2021,3,72439.0
VNM,2021-04-01,2021,4,68831.0
VNM,2021-05-01,2021,5,66623.0
VNM,2021-06-01,2021,6,67378.0
VNM,2021-07-01,2021,7,64173.0
VNM,2021-08-01,2021,8,65141.99999999999
VNM,2021-09-01,2021,9,67937.0
VNM,2021-10-01,2021,10,68771.0
VNM,2021-11-01,2021,11,66420.0
VNM,2021-12-01,2021,12,65510.00000000001
VNM,2022-01-01,2022,1,64059.0
VNM,2022-02-01,2022,2,60436.0
VNM,2022-03-01,2022,3,62363.0
VNM,2022-04-01,2022,4,57198.0
VNM,2022-05-01,2022,5,55271.0
VNM,2022-06-01,2022,6,55656.0
VNM,2022-07-01,2022,7,58022.0
VNM,2022-08-01,2022,8,60174.0
VNM,2022-09-01,2022,9,57623.0
VNM,2022-10-01,2022,10,62565.0
VNM,2022-11-01,2022,11,65992.0
VNM,2022-12-01,2022,12,61739.0
VNM,2023-01-01,2023,1,62550.0
VNM,2023-02-01,2023,2,61252.0
VNM,2023-03-01,2023,3,60359.0
VNM,2023-04-01,2023,4,56790.0
